Signal,Runs,m,tau,M_mean_mean,M_mean_std,M_mean_ci95,D_local_mean,D_local_std,D_local_ci95,TE_fwd_mean,TE_fwd_std,TE_fwd_ci95
ar1_05,100,5,1,0.24692337144163734,0.054877797873548066,0.01075604838321542,5.5460448531828375,0.09195973349667766,0.01802410776534882,0.012100539068395437,0.015268155511247898,0.002992558480204588
ar1_05,100,5,5,0.24901069267210715,0.05512497455087564,0.010804495011971626,5.63313725755395,0.10381980928147183,0.02034868261916848,0.012771007248616151,0.015515518752128232,0.0030410416754171337
ar1_05,100,5,10,0.247736743155791,0.05572229970399154,0.010921570741982342,5.627228120958644,0.08585955290440932,0.016828472369264224,0.012187222472215976,0.015556086330471532,0.00304899292077242
ar1_09,100,1,1,2.8324612031143634,0.4515391577607325,0.08850167492110357,1.1295030846814742,0.010844289782152947,0.002125480797301978,0.007731495226144465,0.013537179304506607,0.002653287143683295
ar1_09,100,2,1,2.833733495159874,0.4516342494641965,0.08852031289498251,2.292052026731185,0.025612220954369696,0.00501999530705646,0.0078110992103600195,0.013707668276786794,0.0026867029822502117
ar1_09,100,2,5,2.832497992454865,0.44912477787280514,0.08802845646306981,2.281345901584025,0.024408408969848493,0.004784048158090305,0.007710100167846283,0.013459272584161675,0.002638017426495688
ar1_09,100,2,10,2.8270969758168696,0.4425018001976496,0.08673035283873932,2.274116667034765,0.026575638281377444,0.005208825103149979,0.007930801375081967,0.013527443758533347,0.002651378976672536
ar1_09,100,3,1,2.834682001071364,0.45195260743639215,0.08858271105753286,3.412832050371736,0.044236913911895,0.00867043512673142,0.007802827217535624,0.013767159726449315,0.0026983633063840658
ar1_09,100,3,5,2.8270969758168696,0.4425018001976496,0.08673035283873932,3.387327496209945,0.048446331204826484,0.00949548091614599,0.007930801375081967,0.013527443758533347,0.002651378976672536
ar1_09,100,3,10,2.818909127015666,0.4410690080935589,0.08644952558633755,3.364829413623929,0.05167020376500418,0.01012735993794082,0.008384097163794468,0.01378582657053971,0.002702022007825783
ar1_09,100,4,1,2.8344325535559705,0.4512778915686787,0.08845046674746102,4.405884466465611,0.06345477551860498,0.012437136001646577,0.007751733395344078,0.013678737515570355,0.0026810325530517896
ar1_09,100,4,5,2.8231448996503405,0.44162349768626996,0.08655820554650892,4.363596948387261,0.08498573492059038,0.016657204044435714,0.008355440048086828,0.013651587484264167,0.0026757111469157763
ar1_09,100,4,10,2.81974459886896,0.4435700685233195,0.08693973343057063,4.284792748607467,0.08531800958593906,0.016722329878844054,0.008397893659710852,0.014307135391060221,0.0028041985366478034
ar1_09,100,5,1,2.8338292241747816,0.45004532940575853,0.08820888456352867,5.273306535264198,0.08594291488014237,0.016844811316507904,0.007760816920839346,0.013518613154270935,0.002649648178237103
ar1_09,100,5,5,2.818909127015666,0.4410690080935589,0.08644952558633755,5.126192007324497,0.12372086471588975,0.02424928948431439,0.008384097163794468,0.01378582657053971,0.002702022007825783
ar1_09,100,5,10,2.8220987151144885,0.44250339813401424,0.0867306660342668,4.939435736601143,0.16896309238625598,0.03311676610770617,0.00859085185983973,0.014937297491210802,0.002927710308277317
lorenz,100,1,1,16.112693242623408,0.0,0.0,1.1447536779946683,0.0,0.0,0.21358659457210918,2.7895403077993544e-17,5.467499003286734e-18
lorenz,100,2,1,16.099554880911807,0.0,0.0,2.484226575396684,0.0,0.0,0.21303128198691823,0.0,0.0
lorenz,100,2,5,16.081792784416038,0.0,0.0,2.3811402231945324,4.463264492478967e-16,8.747998405258775e-17,0.20233286463505792,2.7895403077993544e-17,5.467499003286734e-18
