Signal,m,tau,run,N_eff,M_mean,D_local,TE_fwd
gaussian_white_noise,2,1,23,999,0.03597803055895543,2.2708559241700987,0.004108767240743827
gaussian_white_noise,2,1,24,999,0.0710114631978307,2.288076193609944,0.0
gaussian_white_noise,2,1,25,999,0.12837796809481716,2.2974796129434476,0.03560787553530753
gaussian_white_noise,2,1,26,999,0.0791252521620498,2.293647749721651,0.008670669202107018
gaussian_white_noise,2,1,27,999,0.047652283354289615,2.279561576447186,0.0
gaussian_white_noise,2,1,28,999,0.09311189813491527,2.268938593243533,0.02586846363866968
gaussian_white_noise,2,1,29,999,0.13038500541456877,2.28947097796899,0.005001037985621348
gaussian_white_noise,2,1,30,999,0.07197076355339149,2.32449050530413,0.0
gaussian_white_noise,2,1,31,999,0.07187382509704943,2.291363779120444,0.0
gaussian_white_noise,2,1,32,999,0.055741768971294015,2.236443589330877,0.03140217956461733
gaussian_white_noise,2,1,33,999,0.08493777731551688,2.243724887315921,0.0
gaussian_white_noise,2,1,34,999,0.12306044515472347,2.3101662754071812,0.008154071255374262
gaussian_white_noise,2,1,35,999,0.052154860120268154,2.316918550631333,0.0
gaussian_white_noise,2,1,36,999,0.07812703610912042,2.306728599830407,0.06801850204225612
gaussian_white_noise,2,1,37,999,0.10585598336865765,2.2730676838881094,0.0
gaussian_white_noise,2,1,38,999,0.021939394617475294,2.273023637397302,0.014461632205172936
gaussian_white_noise,2,1,39,999,0.035268011655270826,2.242976974468471,0.0
gaussian_white_noise,2,1,40,999,0.08630160691849653,2.3016705059526092,0.014523473429355782
gaussian_white_noise,2,1,41,999,0.0480145725907688,2.284539101044139,0.03727817239564368
gaussian_white_noise,2,1,42,999,0.07144831832446119,2.243757317925015,0.0
gaussian_white_noise,2,1,43,999,0.07284692171314955,2.3511415184482503,0.009663296910962238
gaussian_white_noise,2,1,44,999,0.12033499790032742,2.274268633375394,0.04075472771803268
gaussian_white_noise,2,1,45,999,0.12351581928278232,2.2947868965966385,0.013388081796062323
gaussian_white_noise,2,1,46,999,0.04834362127576508,2.3086102931373373,0.029416889782380107
gaussian_white_noise,2,1,47,999,0.03622691475748496,2.3018889183365,0.0033694694248191936
gaussian_white_noise,2,1,48,999,0.06573269208588428,2.2996293486228385,0.0
gaussian_white_noise,2,1,49,999,0.011254666715866612,2.319997822733969,0.002777115845893352
gaussian_white_noise,2,1,50,999,0.0687771049882997,2.267894672814461,0.005556705234282866
gaussian_white_noise,2,1,51,999,0.07864254526376957,2.3113403925307177,0.01498041179212839
gaussian_white_noise,2,1,52,999,0.13280454735421543,2.3317471991308163,0.01004663036273401
gaussian_white_noise,2,1,53,999,0.06237231054040837,2.3221104834848156,0.022622885611219168
gaussian_white_noise,2,1,54,999,0.08160465033450226,2.284325970534509,0.0
gaussian_white_noise,2,1,55,999,0.015366338222566611,2.3305442120609055,0.0018026679798466283
gaussian_white_noise,2,1,56,999,0.05047642597199964,2.2788645758960615,0.0
gaussian_white_noise,2,1,57,999,0.11249113269114464,2.2465315149027,0.0
gaussian_white_noise,2,1,58,999,0.04376687269510526,2.3008594643594584,0.0
gaussian_white_noise,2,1,59,999,0.019299225066111703,2.272403291287838,0.0
gaussian_white_noise,2,1,60,999,0.022318341512746365,2.313788331950937,0.012937759212505728
gaussian_white_noise,2,1,61,999,0.07808167450416015,2.324710855442783,0.0
gaussian_white_noise,2,1,62,999,0.05408523440652235,2.3251132138132657,0.0
gaussian_white_noise,2,1,63,999,0.08651217939842137,2.283325797443907,0.03441749961606577
gaussian_white_noise,2,1,64,999,0.09387076610771228,2.26843056028879,0.0
gaussian_white_noise,2,1,65,999,0.026492915634467984,2.261290814268947,0.05451270421675947
gaussian_white_noise,2,1,66,999,0.05046005474528492,2.3221200377019184,0.020085859038624143
gaussian_white_noise,2,1,67,999,0.10573517646274677,2.29604042416456,0.0
gaussian_white_noise,2,1,68,999,0.061035084110992344,2.2773844935403114,0.003903444254694577
